,session_id,cell_id,n_cells,drn_accum,dsn_accum,is_drn,is_dsn
0,693163510,693314922,27,0,0,False,False
1,693163510,693314920,27,7,13,False,False
2,693163510,693314918,27,112,246,False,False
3,693163510,693314916,27,16,548,False,False
4,693163510,693314914,27,388,739,False,False
5,693163510,693314912,27,602,776,False,False
6,693163510,693314910,27,40,77,False,False
7,693163510,693314908,27,0,1000,False,True
8,693163510,693314906,27,8,343,False,False
9,693163510,693314904,27,514,944,False,False
10,693163510,693314902,27,986,1000,True,True
11,693163510,693314900,27,400,869,False,False
12,693163510,693314898,27,67,170,False,False
13,693163510,693314896,27,803,998,False,True
14,693163510,693314894,27,4,485,False,False
15,693163510,693314892,27,818,912,False,False
16,693163510,693314890,27,982,998,True,True
17,693163510,693314888,27,0,1000,False,True
18,693163510,693314886,27,640,784,False,False
19,693163510,693314884,27,19,50,False,False
20,693163510,693314882,27,55,471,False,False
21,693163510,693314880,27,14,180,False,False
22,693163510,693314878,27,208,216,False,False
23,693163510,693314876,27,371,505,False,False
24,693163510,693314874,27,993,995,True,True
25,693163510,693314872,27,726,769,False,False
26,693163510,693314870,27,9,757,False,False
27,687293842,687546393,32,7,52,False,False
28,687293842,687546389,32,115,579,False,False
29,687293842,687546385,32,58,185,False,False
30,687293842,687546382,32,499,533,False,False
31,687293842,687546379,32,0,964,False,True
32,687293842,687546375,32,23,988,False,True
33,687293842,687546371,32,167,516,False,False
34,687293842,687546366,32,173,248,False,False
35,687293842,687546360,32,211,239,False,False
36,687293842,687546356,32,796,976,False,True
37,687293842,687546351,32,216,995,False,True
38,687293842,687546346,32,94,329,False,False
39,687293842,687546342,32,223,694,False,False
40,687293842,687546338,32,244,244,False,False
41,687293842,687546333,32,85,226,False,False
42,687293842,687546327,32,570,998,False,True
43,687293842,687546324,32,261,589,False,False
44,687293842,687546319,32,860,1000,False,True
45,687293842,687546315,32,1,367,False,False
46,687293842,687546312,32,32,73,False,False
47,687293842,687546308,32,3,364,False,False
48,687293842,687546304,32,0,275,False,False
49,687293842,687546301,32,500,999,False,True
50,687293842,687546298,32,45,981,False,True
51,687293842,687546296,32,123,156,False,False
52,687293842,687546294,32,2,459,False,False
53,687293842,687546292,32,217,907,False,False
54,687293842,687546290,32,142,227,False,False
55,687293842,687546288,32,38,156,False,False
56,687293842,687546286,32,42,311,False,False
57,687293842,687546284,32,58,710,False,False
58,687293842,687546282,32,168,309,False,False
59,686708257,686936559,16,35,186,False,False
60,686708257,686936557,16,62,123,False,False
61,686708257,686936555,16,593,1000,False,True
62,686708257,686936553,16,5,102,False,False
63,686708257,686936551,16,21,629,False,False
64,686708257,686936549,16,1000,1000,True,True
65,686708257,686936547,16,5,9,False,False
66,686708257,686936545,16,982,985,True,True
67,686708257,686936543,16,10,31,False,False
68,686708257,686936541,16,174,183,False,False
69,686708257,686936539,16,955,996,True,True
70,686708257,686936537,16,318,321,False,False
71,686708257,686936535,16,21,122,False,False
72,686708257,686936533,16,455,564,False,False
73,686708257,686936531,16,976,977,True,True
74,686708257,686936529,16,30,41,False,False
75,691741646,691789531,44,1,44,False,False
76,691741646,691789529,44,0,25,False,False
77,691741646,691789527,44,807,1000,False,True
78,691741646,691789525,44,2,82,False,False
79,691741646,691789523,44,36,567,False,False
80,691741646,691789521,44,102,953,False,True
81,691741646,691789519,44,524,726,False,False
82,691741646,691789517,44,9,33,False,False
83,691741646,691789515,44,606,1000,False,True
84,691741646,691789513,44,85,446,False,False
