,session_id,cell_id,n_cells,drn_accum,dsn_accum,is_drn,is_dsn
0,556353209,557374817,21,550,951,False,True
1,556353209,557374888,21,13,921,False,False
2,556353209,557374807,21,206,227,False,False
3,556353209,557374802,21,413,527,False,False
4,556353209,557374843,21,566,771,False,False
5,556353209,557374832,21,113,730,False,False
6,556353209,557374878,21,149,976,False,True
7,556353209,557374838,21,550,613,False,False
8,556353209,557374836,21,296,576,False,False
9,556353209,557374653,21,598,825,False,False
10,556353209,557374683,21,383,905,False,False
11,556353209,557374658,21,843,855,False,False
12,556353209,557374645,21,621,663,False,False
13,556353209,557374787,21,399,930,False,False
14,556353209,557374719,21,152,826,False,False
15,556353209,557374782,21,209,268,False,False
16,556353209,557374714,21,891,917,False,False
17,556353209,557374792,21,402,428,False,False
18,556353209,557374797,21,636,814,False,False
19,556353209,557374707,21,585,990,False,True
20,556353209,557374678,21,709,751,False,False
21,510390912,517401244,87,500,793,False,False
22,510390912,517401240,87,348,884,False,False
23,510390912,517401085,87,3,984,False,True
24,510390912,517400778,87,29,801,False,False
25,510390912,517400892,87,607,687,False,False
26,510390912,588874289,87,31,907,False,False
27,510390912,588874267,87,517,998,False,True
28,510390912,517400818,87,0,994,False,True
29,510390912,517400839,87,89,651,False,False
30,510390912,517400729,87,50,369,False,False
31,510390912,517401035,87,126,989,False,True
32,510390912,517400951,87,140,978,False,True
33,510390912,517401045,87,217,663,False,False
34,510390912,517401010,87,898,947,False,False
35,510390912,517400946,87,3,969,False,True
36,510390912,517401015,87,10,989,False,True
37,510390912,517401273,87,425,666,False,False
38,510390912,517400812,87,73,307,False,False
39,510390912,517401088,87,478,763,False,False
40,510390912,517401169,87,0,3,False,False
41,510390912,517401278,87,790,957,False,True
42,510390912,517401091,87,21,778,False,False
43,510390912,517401157,87,87,495,False,False
44,510390912,517401283,87,192,537,False,False
45,510390912,588875049,87,60,850,False,False
46,510390912,517400926,87,25,938,False,False
47,510390912,517400988,87,657,658,False,False
48,510390912,517400931,87,284,352,False,False
49,510390912,517401380,87,448,591,False,False
50,510390912,517401061,87,896,903,False,False
51,510390912,517401201,87,394,983,False,True
52,510390912,588877765,87,150,669,False,False
53,510390912,517401064,87,513,690,False,False
54,510390912,517400936,87,188,525,False,False
55,510390912,517401398,87,2,981,False,True
56,510390912,517401181,87,305,958,False,True
57,510390912,517401300,87,111,328,False,False
58,510390912,517401253,87,232,356,False,False
59,510390912,517401410,87,788,974,False,True
60,510390912,517400773,87,168,676,False,False
61,510390912,517400762,87,726,996,False,True
62,510390912,517401362,87,308,671,False,False
63,510390912,517401366,87,316,620,False,False
64,510390912,517401228,87,529,905,False,False
65,510390912,588876846,87,835,840,False,False
66,510390912,517401372,87,104,923,False,False
67,510390912,517400799,87,861,877,False,False
68,510390912,517401215,87,517,770,False,False
69,510390912,588877680,87,153,469,False,False
70,510390912,517401212,87,361,927,False,False
71,510390912,517400844,87,90,282,False,False
72,510390912,517400835,87,48,788,False,False
73,510390912,517401348,87,395,998,False,True
74,510390912,517400717,87,599,987,False,True
75,510390912,517401343,87,90,671,False,False
76,510390912,517400793,87,814,970,False,True
77,510390912,517401353,87,2,1000,False,True
78,510390912,517400968,87,764,978,False,True
79,510390912,517400964,87,280,657,False,False
80,510390912,517401236,87,72,722,False,False
81,510390912,517401050,87,555,677,False,False
82,510390912,588877789,87,16,64,False,False
83,510390912,517401224,87,22,887,False,False
84,510390912,517401055,87,4,928,False,False
85,510390912,588877894,87,55,316,False,False
86,510390912,517400689,87,972,993,True,True
87,510390912,517400692,87,81,566,False,False
88,510390912,588877812,87,220,740,False,False
89,510390912,517400695,87,400,651,False,False
90,510390912,517400698,87,897,1000,False,True
91,510390912,517400701,87,111,544,False,False
92,510390912,588873873,87,488,690,False,False
93,510390912,517400686,87,385,995,False,True
94,510390912,517400941,87,179,932,False,False
95,510390912,517400757,87,887,999,False,True
96,510390912,517400972,87,297,877,False,False
97,510390912,517400707,87,5,972,False,True
98,510390912,517400704,87,54,168,False,False
99,510390912,588877914,87,789,883,False,False
100,510390912,517401020,87,114,753,False,False
101,510390912,517401025,87,21,48,False,False
102,510390912,517400747,87,531,695,False,False
103,510390912,517401076,87,879,987,False,True
104,510390912,517400916,87,249,626,False,False
105,510390912,517401079,87,460,583,False,False
106,510390912,517400722,87,578,999,False,True
107,510390912,517401096,87,79,1000,False,True
108,704298735,729434558,95,271,869,False,False
109,704298735,729434571,95,0,1000,False,True
110,704298735,729434545,95,0,913,False,False
111,704298735,729434504,95,698,882,False,False
112,704298735,729435081,95,568,968,False,True
113,704298735,729433527,95,350,999,False,True
114,704298735,729435117,95,833,866,False,False
115,704298735,729435135,95,83,289,False,False
116,704298735,729435154,95,374,585,False,False
117,704298735,729433515,95,441,1000,False,True
118,704298735,729434599,95,309,753,False,False
119,704298735,729434586,95,742,995,False,True
120,704298735,729434783,95,11,220,False,False
121,704298735,729434464,95,369,835,False,False
122,704298735,729433680,95,167,447,False,False
123,704298735,729435044,95,406,523,False,False
124,704298735,729435065,95,438,544,False,False
125,704298735,729433539,95,11,798,False,False
126,704298735,729433030,95,397,524,False,False
127,704298735,729433548,95,266,518,False,False
128,704298735,729432957,95,797,925,False,False
129,704298735,729433050,95,301,590,False,False
130,704298735,729432866,95,548,1000,False,True
131,704298735,729435359,95,444,906,False,False
132,704298735,729435344,95,164,802,False,False
133,704298735,729435477,95,457,898,False,False
134,704298735,729435409,95,67,202,False,False
135,704298735,729435375,95,427,961,False,True
136,704298735,729435463,95,173,462,False,False
137,704298735,729434427,95,50,299,False,False
138,704298735,729433328,95,447,717,False,False
139,704298735,729433378,95,646,955,False,True
140,704298735,729435644,95,0,1000,False,True
141,704298735,729435283,95,169,581,False,False
142,704298735,729432704,95,594,867,False,False
143,704298735,729433502,95,548,570,False,False
144,704298735,729434018,95,0,1000,False,True
145,704298735,729434030,95,13,1000,False,True
146,704298735,729434348,95,752,991,False,True
147,704298735,729434383,95,62,171,False,False
148,704298735,729433666,95,631,701,False,False
149,704298735,729433739,95,200,320,False,False
150,704298735,729434622,95,834,845,False,False
